Target,x,y
Gift button,1000,462
Over arrow,840,340
Pay with dollars,1250,533
Books,610,770
Designer bags,610,433
Drinks,610,433
Hand lotions,610,555
Jam,610,666
Magic candles,610,555
Shells,610,433
Cars,870,433
Enchanted Scarves,870,555
Flowers,870,433
Necklaces,870,770
Plushy,870,555
Roses,870,433
Shoes,870,666
